Time=373473 X=-3253.44 Y=11426.1
Time=374509 X=-2973.1 Y=11324
Time=375516 X=-2700.6 Y=11224.7
Time=376567 X=-2406.46 Y=11117.5
Time=377609 X=-2031.45 Y=10980.9
Time=378582 X=-1681.26 Y=10853.3
Time=379631 X=-1303.72 Y=10715.8
Time=380661 X=-933.025 Y=10580.8
Time=381710 X=-555.488 Y=10443.2
Time=382710 X=-195.586 Y=10312.1
Time=383729 X=171.155 Y=10178.5
Time=384756 X=516.485 Y=10052.7
Time=385790 X=855.761 Y=9929.12
Time=386783 X=1213.14 Y=9798.92
Time=387807 X=1581.68 Y=9664.67
Time=388815 X=1944.47 Y=9532.5
Time=389885 X=2278 Y=9411
Time=390897 X=2490.4 Y=9674.62
Time=391911 X=2727.99 Y=9981.87
Time=392907 X=2964.72 Y=10281.3
Time=393935 X=3182.58 Y=10517
Time=394957 X=3382.38 Y=10733.2
Time=395976 X=3581.58 Y=10948.7
Time=397030 X=3811.82 Y=11197.7
Time=398048 X=4076.5 Y=11484.1
Time=399043 X=4335.2 Y=11764
Time=400078 X=4604.3 Y=12055.1
Time=401079 X=4864.56 Y=12336.7
Time=402083 X=5125.6 Y=12619.1
Time=403054 X=5378.06 Y=12892.2
Time=404134 X=5573.34 Y=13056.1
Time=405137 X=5727.3 Y=12754.6
Time=406147 X=5889.57 Y=12436.8
Time=407159 X=6065.85 Y=12091.5
Time=408187 X=6244.91 Y=11740.8
Time=409214 X=6423.98 Y=11390.3
Time=410226 X=6606.3 Y=11048.2
Time=411268 X=6823.67 Y=10723.4
Time=412301 X=7181.98 Y=10561.4
Time=413324 X=7483.13 Y=10310.7
Time=414342 X=7719.55 Y=10113.9
Time=415386 X=7932 Y=9937
Time=416398 X=8013.06 Y=9674.54
Time=417404 X=8123.44 Y=9356.07
Time=418453 X=8255.04 Y=8976.42
Time=419460 X=8381.37 Y=8611.97
Time=420495 X=8511.2 Y=8237.39
Time=421532 X=8725.88 Y=7908.11
Time=422525 X=9006.95 Y=7670.99
Time=423526 X=9364.32 Y=7532.07
Time=424554 X=9731.33 Y=7389.4
Time=425574 X=10039.8 Y=7269.51
Time=426548 X=10380.6 Y=7137.02
Time=427584 X=10726.9 Y=6947.7
Time=428614 X=11054 Y=6727.21
Time=429615 X=11232.6 Y=6492.97
Time=430629 X=11481.4 Y=6201.8
Time=431635 X=11747.3 Y=5924.09
Time=432660 X=11990.4 Y=5615.88
Time=433674 X=12221.8 Y=5303.69
Time=434674 X=12402 Y=5079.08
