Time=1725793 X=12097.8 Y=14509.1
Time=1726812 X=12097.8 Y=14509.1
Time=1727810 X=12097.8 Y=14509.1
Time=1728826 X=12097.8 Y=14509.1
Time=1729852 X=12097.8 Y=14509.1
Time=1730861 X=12097.8 Y=14509.1
Time=1731885 X=12097.8 Y=14509.1
Time=1732907 X=12097.8 Y=14509.1
Time=1733940 X=12097.8 Y=14509.1
Time=1734949 X=12097.8 Y=14509.1
Time=1735960 X=12097.8 Y=14509.1
Time=1736977 X=12097.8 Y=14509.1
Time=1737996 X=12097.8 Y=14509.1
Time=1739027 X=12097.8 Y=14509.1
Time=1740068 X=12097.8 Y=14509.1
Time=1741098 X=12097.8 Y=14509.1
Time=1742107 X=12097.8 Y=14509.1
Time=1743138 X=11864.8 Y=14208.4
Time=1744155 X=11626.2 Y=13900.4
Time=1745166 X=11389.1 Y=13594.3
Time=1746189 X=11149.1 Y=13284.5
Time=1747188 X=10980 Y=13093.8
Time=1748258 X=10745.3 Y=12846.6
Time=1749253 X=10513.3 Y=12602.3
Time=1750265 X=10360.1 Y=12440.9
Time=1751279 X=10455.3 Y=12556.6
Time=1752278 X=10698.7 Y=12851.8
Time=1753301 X=10948 Y=13154.1
Time=1754320 X=11196.3 Y=13455.3
Time=1755332 X=11443 Y=13754.3
Time=1756369 X=11695.7 Y=14060.8
Time=1757405 X=11864.5 Y=14265.6
Time=1758423 X=11982.6 Y=14210.6
Time=1759436 X=12334.4 Y=14046.9
Time=1760473 X=12694.5 Y=13879.3
Time=1761471 X=13041.1 Y=13718
Time=1762511 X=13354.8 Y=13572.1
Time=1763545 X=13713.9 Y=13405
Time=1764839 X=14165.3 Y=13200.4
Time=1765863 X=14328.3 Y=12944.2
Time=1766868 X=14470.6 Y=12697.9
Time=1767871 X=14377.4 Y=12325.2
Time=1768875 X=14299.8 Y=11949.5
Time=1769900 X=14283.8 Y=11557.3
Time=1770928 X=14273.3 Y=11217.5
Time=1771944 X=14264.3 Y=10925
Time=1772958 X=14200.5 Y=10693.2
Time=1773972 X=14228 Y=10602
Time=1774992 X=14228 Y=10602
Time=1776015 X=14228 Y=10602
Time=1777031 X=14228 Y=10602
Time=1778074 X=14228 Y=10602
Time=1779073 X=14228 Y=10602
Time=1780112 X=14228 Y=10602
Time=1781127 X=14228 Y=10602
Time=1782150 X=14228 Y=10602
Time=1783175 X=14228 Y=10602
Time=1784185 X=14228 Y=10602
Time=1785210 X=14228 Y=10602
Time=1786208 X=14228 Y=10602
Time=1787203 X=14228 Y=10602
Time=1788273 X=14291.7 Y=10820.9
Time=1789281 X=14554.1 Y=11104
Time=1790304 X=14836.5 Y=11375.6
Time=1791336 X=15140.3 Y=11628.4
Time=1792347 X=15426.4 Y=11889.1
Time=1793395 X=15563 Y=12023
Time=1794377 X=15563 Y=12023
Time=1795428 X=15563 Y=12023
Time=1796502 X=15563 Y=12023
Time=1797517 X=15563 Y=12023
Time=1798535 X=15563 Y=12023
Time=1799557 X=15488.3 Y=12058.2
Time=1800585 X=15220.6 Y=12315
Time=1801575 X=15198.9 Y=12000.6
Time=1802631 X=15198.9 Y=12000.6
Time=1803646 X=15198.9 Y=12000.6
Time=1804667 X=15198.9 Y=12000.6
Time=1805688 X=15163.3 Y=11984.5
Time=1806689 X=15029.7 Y=12191
Time=1807708 X=14869.3 Y=12462.3
Time=1808762 X=14842.9 Y=12178.3
Time=1809782 X=14850.3 Y=11787.7
Time=1810790 X=14851.7 Y=11710.7
Time=1811801 X=14851.7 Y=11710.7
Time=1812835 X=14752.5 Y=12025.7
Time=1813856 X=14670.5 Y=12408.1
Time=1814857 X=14590.1 Y=12783
Time=1815875 X=14539 Y=13021
Time=1816882 X=14642 Y=12675.6
Time=1817916 X=14755.1 Y=12296
Time=1818940 X=14867.2 Y=11920.1
Time=1819962 X=14965.8 Y=11589.3
Time=1820989 X=14995.9 Y=11488.1
Time=1821997 X=14995.9 Y=11488.1
Time=1823017 X=15178.5 Y=11638.8
Time=1824062 X=15488.2 Y=11892.4
Time=1825088 X=15792.2 Y=12141.4
Time=1826075 X=16084.7 Y=12381
Time=1827148 X=16402.7 Y=12641.4
Time=1828189 X=16697.9 Y=12883.2
Time=1829205 X=16977 Y=13111.8
Time=1830233 X=17224.8 Y=13223
