Time=3338896 X=-11249.2 Y=4249.93
Time=3339912 X=-11249.2 Y=4249.93
Time=3340884 X=-11249.2 Y=4249.93
Time=3341953 X=-11249.2 Y=4249.93
Time=3343006 X=-11249.2 Y=4249.93
Time=3344063 X=-11249.2 Y=4249.93
Time=3345083 X=-11249.2 Y=4249.93
Time=3346201 X=-11249.2 Y=4249.93
Time=3347435 X=-11322.3 Y=4069.88
Time=3348277 X=-11073.6 Y=3894.95
Time=3349376 X=-11073.6 Y=3894.95
Time=3350360 X=-11311.6 Y=4007.67
Time=3351535 X=-11302.9 Y=4199.18
Time=3352507 X=-11137.8 Y=4532.85
Time=3353384 X=-10937.4 Y=4801.02
Time=3354498 X=-10666.8 Y=5111.02
Time=3355664 X=-10386.6 Y=5458.88
Time=3356611 X=-10196.2 Y=5695.37
Time=3357661 X=-9904.43 Y=5970.14
Time=3358660 X=-9610.13 Y=6214.71
Time=3359776 X=-9281.37 Y=6487.92
Time=3360811 X=-8976.46 Y=6741.3
Time=3361808 X=-8682.75 Y=6985.38
Time=3362847 X=-8376.67 Y=7239.75
Time=3363960 X=-8048.79 Y=7512.22
Time=3365106 X=-7776.38 Y=7802.13
Time=3366179 X=-7542.38 Y=8051.16
Time=3367177 X=-7283.3 Y=8332.67
Time=3368277 X=-7344.53 Y=8701.4
Time=3369370 X=-7640.42 Y=8997.42
Time=3370402 X=-7942.63 Y=9252.02
Time=3371398 X=-8256.7 Y=9468.31
Time=3372422 X=-8580.39 Y=9667.79
Time=3373543 X=-8828.51 Y=9796.74
Time=3374574 X=-8838 Y=9797
Time=3375562 X=-8838 Y=9797
Time=3376635 X=-8838 Y=9797
Time=3377684 X=-8838 Y=9797
Time=3378534 X=-8838 Y=9797
Time=3379653 X=-8838 Y=9797
Time=3380775 X=-8838 Y=9797
Time=3381841 X=-8838 Y=9797
Time=3382907 X=-8755.29 Y=9735.82
Time=3383874 X=-8601.69 Y=9629.87
