Time=474165 X=-10325.9 Y=9727.54
Time=475222 X=-10594.2 Y=9424.4
Time=476226 X=-10577.7 Y=9106.24
Time=477219 X=-10443.1 Y=8778.43
Time=478266 X=-10825 Y=8655.96
Time=479244 X=-11185.6 Y=8554.68
Time=480297 X=-11524 Y=8475.16
Time=481250 X=-11868.3 Y=8412.1
Time=482314 X=-12261.6 Y=8310.44
Time=483327 X=-12642.6 Y=8292.33
Time=484343 X=-12935.5 Y=8319.93
Time=485337 X=-12935.5 Y=8319.93
Time=486365 X=-12935.5 Y=8319.93
Time=487348 X=-12935.5 Y=8319.93
Time=488335 X=-12935.5 Y=8319.93
Time=489398 X=-12935.5 Y=8319.93
Time=490388 X=-12935.5 Y=8319.93
Time=491401 X=-12935.5 Y=8319.93
Time=492464 X=-12935.5 Y=8319.93
Time=493473 X=-12935.5 Y=8319.93
Time=494502 X=-12935.5 Y=8319.93
Time=495478 X=-12826.9 Y=8210.55
Time=496563 X=-12586.1 Y=7956.57
Time=497603 X=-12311.9 Y=7667.52
Time=498637 X=-12306.1 Y=7704.11
Time=499628 X=-12506.8 Y=8026.26
Time=500699 X=-12629.7 Y=8223.34
Time=501715 X=-12729 Y=8152.25
Time=502715 X=-13048.5 Y=7941.12
Time=503677 X=-13374.2 Y=7769.3
Time=504774 X=-13641.7 Y=7467.87
Time=505774 X=-13773.8 Y=7264.59
Time=506808 X=-13773.8 Y=7264.59
Time=507833 X=-13773.8 Y=7264.59
Time=508836 X=-13773.8 Y=7264.59
Time=509881 X=-13773.8 Y=7264.59
Time=510874 X=-13773.8 Y=7264.59
Time=511931 X=-13773.8 Y=7264.59
Time=512951 X=-13773.8 Y=7264.59
Time=514016 X=-13779.7 Y=7575.56
Time=514978 X=-13779.7 Y=7575.56
Time=516032 X=-13779.7 Y=7575.56
Time=517077 X=-13779.7 Y=7575.56
Time=518102 X=-13879.4 Y=7236.12
Time=519130 X=-13899 Y=7137
Time=520179 X=-13899 Y=7137
Time=521205 X=-13899 Y=7137
Time=522244 X=-13899 Y=7137
Time=523281 X=-13899 Y=7137
Time=524359 X=-13899 Y=7137
Time=525371 X=-13899 Y=7137
Time=526440 X=-13899 Y=7137
Time=527399 X=-13955.2 Y=7172.07
Time=528542 X=-14117.4 Y=7273.32
Time=529648 X=-14117.4 Y=7273.32
Time=530615 X=-14117.4 Y=7273.32
Time=531622 X=-14117.4 Y=7273.32
Time=532635 X=-14117.4 Y=7273.32
Time=533652 X=-14117.4 Y=7273.32
Time=534625 X=-14117.4 Y=7273.32
Time=535716 X=-14124 Y=7132.93
Time=536770 X=-14142.1 Y=6747.69
Time=537779 X=-14160.3 Y=6361.63
Time=538798 X=-14181.5 Y=5971.77
Time=539795 X=-14267.9 Y=5599.61
Time=540814 X=-14408.3 Y=5236.83
Time=541758 X=-14474 Y=5106
Time=542903 X=-14474 Y=5106
Time=543909 X=-14474 Y=5106
Time=544943 X=-14474 Y=5106
Time=545972 X=-14474 Y=5106
Time=546990 X=-14474 Y=5106
Time=547999 X=-14474 Y=5106
Time=549031 X=-14474 Y=5106
Time=550078 X=-14446.1 Y=5162.56
Time=551073 X=-14356.3 Y=5344.65
Time=552077 X=-14332 Y=5335.61
Time=553150 X=-14345.1 Y=5644.35
Time=554170 X=-14350.3 Y=5905.58
Time=555204 X=-14277.9 Y=5516.19
Time=556242 X=-14186.2 Y=5131.53
Time=557269 X=-14001.8 Y=4784.12
Time=558316 X=-13860.7 Y=4446.25
Time=559313 X=-13855.3 Y=4553.45
Time=560321 X=-13900 Y=4714
Time=561353 X=-13900 Y=4714
Time=562308 X=-13900 Y=4714
Time=563369 X=-13900 Y=4714
Time=564349 X=-13900 Y=4714
Time=565373 X=-13900 Y=4714
Time=566385 X=-13900 Y=4714
Time=567414 X=-13920.5 Y=4744.97
Time=568472 X=-14144.3 Y=5082.82
Time=569444 X=-14240.6 Y=5431.95
Time=570501 X=-14208.6 Y=5751.7
Time=571507 X=-14171.6 Y=6125.25
Time=572515 X=-14158.4 Y=6513.33
Time=573541 X=-14145 Y=6909.06
Time=574582 X=-14131.4 Y=7310.57
Time=575604 X=-14118 Y=7704.76
Time=576586 X=-14105.1 Y=8083.51
Time=577657 X=-14107 Y=8066.59
Time=578663 X=-14123.6 Y=7678.81
Time=579695 X=-14139.3 Y=7309.56
Time=581090 X=-14139.3 Y=7309.56
Time=582103 X=-13821.7 Y=7181.9
Time=583165 X=-13821.7 Y=7181.9
Time=584205 X=-13934.8 Y=6799.93
Time=585217 X=-14044.8 Y=6428.25
Time=586274 X=-14159.8 Y=6040.03
Time=587301 X=-14285.9 Y=5680.4
Time=588386 X=-14428.5 Y=5290.03
Time=589414 X=-14470.4 Y=5175.26
Time=590441 X=-14474.6 Y=5284.49
Time=591464 X=-14547.4 Y=5669.52
Time=592470 X=-14619 Y=6048.15
Time=593500 X=-14692.2 Y=6435.82
Time=594495 X=-14763 Y=6810.31
Time=595577 X=-14840 Y=7217.55
Time=596565 X=-14910.3 Y=7589.4
Time=597588 X=-14983.1 Y=7974.44
Time=598574 X=-15048.9 Y=8322.38
Time=599572 X=-15115.2 Y=8673.16
Time=600581 X=-15113.6 Y=9056.36
Time=601617 X=-15076.7 Y=9451.47
Time=602681 X=-15072.8 Y=9493.42
Time=603675 X=-15072.8 Y=9493.42
Time=604680 X=-15072.8 Y=9493.42
Time=605724 X=-15072.8 Y=9493.42
Time=606707 X=-15072.8 Y=9493.42
Time=607743 X=-15072.8 Y=9493.42
Time=608734 X=-15072.8 Y=9493.42
Time=609767 X=-15059 Y=9477.11
Time=610785 X=-14825.8 Y=9429.05
Time=611812 X=-14693.6 Y=9516.74
Time=612853 X=-14693.6 Y=9516.74
Time=613866 X=-14693.6 Y=9516.74
Time=614860 X=-14693.6 Y=9516.74
Time=615894 X=-14693.6 Y=9516.74
Time=616918 X=-14693.6 Y=9516.74
Time=617910 X=-14693.6 Y=9516.74
Time=618934 X=-14693.6 Y=9516.74
Time=619976 X=-14693.6 Y=9516.74
Time=620998 X=-14693.6 Y=9516.74
Time=622036 X=-14693.6 Y=9516.74
Time=623039 X=-14693.6 Y=9516.74
Time=624072 X=-14781.2 Y=9615.69
Time=625144 X=-15053.4 Y=9923.14
Time=626108 X=-15298.1 Y=10199.6
Time=627177 X=-15335.6 Y=10159.7
Time=628150 X=-15207.2 Y=9809.85
Time=629217 X=-15066.4 Y=9426.18
Time=630234 X=-14942.4 Y=9088.54
Time=631216 X=-14943.5 Y=9086.09
Time=632272 X=-15321.2 Y=9207.98
Time=633315 X=-15701.5 Y=9330.67
Time=634349 X=-16078.4 Y=9452.3
Time=635357 X=-16445.8 Y=9570.88
Time=636395 X=-16817.4 Y=9690.79
Time=637433 X=-16940.7 Y=9695.77
Time=638470 X=-16661.3 Y=9413.37
Time=639487 X=-16387.4 Y=9136.41
Time=640521 X=-16108.9 Y=8854.82
Time=641543 X=-15833.6 Y=8576.5
Time=642587 X=-15552.3 Y=8292.2
Time=643602 X=-15278.9 Y=8015.78
Time=644645 X=-15020 Y=7754
Time=645620 X=-14985.4 Y=7479.31
Time=646725 X=-14964.4 Y=7071.13
Time=647724 X=-14944.8 Y=6688.98
Time=648761 X=-14924.3 Y=6292.29
Time=649797 X=-14903.9 Y=5895.99
Time=650795 X=-14884.3 Y=5514.22
Time=651831 X=-14863.9 Y=5117.92
Time=652852 X=-14713.1 Y=4868.53
Time=653878 X=-14401 Y=4634.94
Time=654897 X=-14125.5 Y=4428.81
Time=655969 X=-13796.8 Y=4182.79
Time=656948 X=-13504.5 Y=4099.04
Time=657961 X=-13126.4 Y=4011.75
Time=658973 X=-12910 Y=3803.99
Time=660001 X=-12933.7 Y=3410.94
Time=660998 X=-12956.6 Y=3029.74
Time=662031 X=-12980.4 Y=2634.78
Time=663016 X=-13000.2 Y=2306.36
Time=664058 X=-12973.3 Y=1909.37
Time=665077 X=-12930.1 Y=1521.45
Time=666084 X=-12887.6 Y=1138.08
Time=667113 X=-12878.3 Y=1054.71
Time=668157 X=-12878.3 Y=1054.71
Time=669191 X=-12878.3 Y=1054.71
Time=670165 X=-12878.3 Y=1054.71
Time=671202 X=-12936.4 Y=805.457
Time=672211 X=-13066.8 Y=442.629
Time=673265 X=-13219.4 Y=68.844
Time=674249 X=-13361.8 Y=-280.116
Time=675303 X=-13471.9 Y=-665.345
Time=676344 X=-13544.4 Y=-1051.42
Time=677336 X=-13620.5 Y=-1135.26
Time=678328 X=-13596 Y=-1228
Time=679342 X=-13596 Y=-1228
Time=680352 X=-13596 Y=-1228
